EDGAR Country Code,Country,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
ABW,Aruba,0.76487398022192,0.84224266295782,1.0170022890215,1.0930284169002,1.0756653779098,1.3045097510146,1.2903851428341,1.4726147077848,1.5592350614415,1.6283058553624,1.691492314344,1.7320865826937,1.7020763317364,1.7201328331301,1.9360283873859,2.0204515760168,2.1875113262335,2.4555449360874,2.7163277576836,3.6213984038114,3.4494349005495,3.7427648793881,3.9094364713681,3.7295295772281,3.8792628781569,4.0733693007848,2.7134736214793,4.134452853856,4.1462246158125,3.9585647489918,3.6956991695708,3.7044421733007,3.8237113575489,4.2492117764531,4.3568990848817,4.6250414543857,4.5677316754219,4.9485905289,4.8648859176608,5.193760614222,4.9917571916916,3.3034285881811,3.996862700846,4.4952193330718,4.5771043467427,4.5663850602874,4.7138389042458,4.4382557366296,4.7513656299543,5.4295712651163,4.6480650416028,4.4784276400788,4.6418949056984
AFG,Afghanistan,1.5581553391623,1.5145468706379,1.3088535755541,1.3274298040507,1.402300274832,1.4284213488029,1.4009880489306,1.3892032814006,1.3371249781278,1.314733372078,1.3225581892435,1.3493479660135,1.3771072140325,1.4119298630182,1.3643063967991,1.389246960726,1.262597318526,1.2375384034403,1.2477005398115,1.1607372009045,1.1246217670646,1.0662593031958,0.92292858537921,0.8659187664996,0.81795822562328,0.79678800545364,0.83989742567903,0.87373670725537,0.8964542832775,0.9245374832161,0.79852591184833,0.68623254376247,0.77546805713769,0.7688009806031,0.73757002562337,0.72559808045618,0.71296025091063,0.73703655271875,0.84596644873104,0.9396221735686,1.0481800393607,1.1602794276745,1.0575822393608,0.9737881721891,0.95288009229796,0.92506618534821,0.88201842031515,0.89425604937571,0.86436883492327,0.81493308726296,0.73973769105995,0.74404319024453,0.73197282612627
AGO,Angola,2.971846975901,2.8897986930141,3.2024729527972,3.3492779920426,3.3559093817306,3.1096630040001,2.5263155776352,3.0280378049674,3.1939988149667,3.1646438760646,3.1192626800326,2.8565985263583,2.7854478832475,2.8777014764577,2.8740998315493,2.9518114531986,3.0139419870931,3.1262382656736,3.2699732704717,3.2180295541445,2.8720637260314,2.7742239022217,2.6178195545492,2.8183436233785,3.5347812622451,3.9485251241607,4.5883963709299,4.6533179735834,4.8677735566938,4.7800264220083,4.3465587624922,4.0806197025134,3.872634507364,3.7522654989739,3.9451018148553,3.7608438748358,3.2849337993891,3.1297569901808,3.2189661485995,3.1563194893006,3.3433409295809,3.1666450477137,3.1244982431953,3.1919584284157,3.1643782684372,3.2344891644823,3.0227510513278,2.7493787071172,2.5416009502108,2.4360283110044,2.1836182900803,2.0538708379322,1.900081673541
AIA,Anguilla,0.66474480018028,0.65998459543105,0.67036844259874,0.64085074634116,0.67473814235535,0.70786105407061,0.6796109559285,0.69201311602184,0.74448494246908,0.78951384305635,0.97443303656978,1.3275987875412,1.4093964313264,1.272228437658,1.2242927473757,0.87479997507604,0.78207994260962,1.1857359158687,1.0973023823513,1.1018941250447,1.0614774048217,1.2073055493079,1.213080068695,1.4121877521126,1.7251946866173,2.0355523112182,1.9745720098917,1.6703961565723,1.529383013215,1.4370920240236,1.7513958860425,1.7553011177656,1.2696434676532,1.519972746233,1.4363749937977,1.4256031620938,1.3352578058407,1.2776530157777,1.517356921466,1.8400246141447,2.1050498624792,2.2282720818857,2.2050599975542,2.3198246840434,2.2943215671592,2.2803450553781,2.2846778977031,2.3136605536443,2.2353579800193,2.1748010718771,1.8390915539056,1.8178300345151,1.8732527628166
ALB,Albania,3.8413699546484,3.7264986357198,4.055711008529,3.7441203188196,3.7765781026819,3.7796919167202,3.9515952190552,4.0880495846301,4.3988594598893,4.7502779366329,4.7289159677388,4.2790793087207,4.4285351513296,4.6431542476372,4.6568570686391,4.4078717262294,4.3745179712931,4.3546569601756,4.2220215424896,4.1152013298174,3.5253165357449,2.7734767203468,1.9116863633312,1.953619141941,2.2051514915501,2.1138092793887,2.0393081349393,1.7976466391261,1.8779353869238,2.2597461460031,2.3226965236614,2.3845977779422,2.5883609492176,2.6568577204777,2.7363677648401,2.6208552567823,2.6570270970391,2.6692682554562,2.6258006587333,2.643966614759,2.7688195361188,2.9191853275,2.8265538568775,2.917092360875,3.0836039625113,3.0259375171624,2.8915281491147,3.1674590531905,3.1452755635174,2.9759074500478,2.6726760574411,2.6827858300606,2.7089850335952
ANT,Curaçao,104.97920747819,103.67903572696,99.597579753529,109.05220889631,98.030067556495,70.470671651122,74.966099138615,76.141277072555,65.041102630095,64.620136034362,61.424286237527,56.852722904718,51.400864690428,48.02853611119,46.669080950624,31.238676063539,29.899541779968,27.896423855633,24.657012023814,21.338673518421,19.471790289032,20.232759741912,21.180902187722,17.634482030846,19.838542432256,20.057767039592,20.536967808158,39.695432124259,41.826223568682,42.265532801807,44.653820672778,45.267255755294,43.778757094357,44.058999217576,45.741765329997,47.499527329562,45.523967694881,47.915211530079,46.045504093058,42.33919134549,30.150268099312,37.989600407953,38.007870071912,34.511591105831,37.596659284491,37.634908513412,32.435718013915,25.984597914804,20.914738720344,16.122781094721,13.201449339641,12.691993913193,13.057415064336
ARE,United Arab Emirates,124.73466318275,127.06460581441,117.18097270917,125.99050601467,109.16533342472,94.651099500119,98.391466245266,87.273966653048,83.905041814481,59.997328162449,57.655428416032,49.763647952165,45.534468775254,41.312373556708,49.961907672628,49.432330883152,47.063862346751,46.99154587386,44.002172928056,47.042945932705,45.580197791606,47.794184037076,44.615787733956,45.331767613537,45.598153141795,46.007100161265,46.111503784445,44.845373604774,43.068091431982,41.999814893049,40.483857723179,42.751783449681,41.012321305178,40.655685934339,38.95244833969,37.040473269328,33.713095943635,30.993669365955,31.180383988473,28.167862296803,27.194323133444,26.845401829374,27.37767287669,28.364467133636,28.530430722908,29.792726787888,30.330642232122,28.828026071418,26.564422059635,27.751880369998,27.644719110236,28.857730772231,29.332100530425
ARG,Argentina,9.3108912440878,9.3002652606427,9.4332145059785,9.5903125356894,9.4561912902037,9.3314180134237,9.5121577651689,9.7625153238863,9.3507903331403,9.4320738906156,9.1321345780443,8.7954238565159,8.5577207719338,8.6553365117737,8.5787126108045,8.1784878740453,8.2569676790145,8.2729689153797,8.4417192381744,8.3094448570043,8.0254373309682,8.0344085470537,7.9855780355492,7.9578729742865,8.0232858765981,8.0103904194993,8.1334080604114,8.1815817130059,8.225342220742,8.3393024960965,8.1947225881272,7.9923274490859,7.8755677341585,8.3944932233808,8.8246195185622,8.8088568253837,9.0644834627492,9.1408334714084,9.065009558533,8.4130580671171,8.4003372557793,8.492553205531,8.5237967884863,8.6576409443341,8.5302873280996,8.6398877037985,8.5729427715571,8.5647338083257,8.4650098929014,8.2867519566459,7.888870936485,8.2419382478383,8.2694752802645
ARM,Armenia,6.0790676287176,6.1239289233234,6.292306871596,6.472639899926,6.6383487712507,6.9026799666955,6.9313793448555,6.96448652379,7.0917898204946,7.1489447632618,7.3362881729705,7.1830513911072,7.192564189133,7.0585293386851,6.9789747180135,6.9083301709893,6.9118907215342,6.9819497982755,6.9553069176635,6.8838245608823,6.8886810602645,7.114656410874,4.0782557812545,2.2996731853419,1.6430084738589,1.8878270116,1.6175348493139,1.8622139301213,1.889713973351,1.7831024674734,1.9656914367159,2.0251611459573,1.8930299191276,2.0548235165086,2.2255592104542,2.4921180349789,2.5018146587887,2.7846278208295,2.9717273575655,2.5447806722258,2.466160132313,2.6857515103717,2.98220928674,2.9736511291386,2.9875494148932,2.9544698857181,2.8816570855653,2.9428781787162,2.9941092625093,3.1557148523468,3.3356998420807,3.4022466916429,3.1894664416636
ATG,Antigua and Barbuda,2.540823351183,2.602750030773,2.8760509246347,2.8596221618362,2.6256081459956,2.9503543887653,2.750671066129,2.9241440000892,2.9711684375173,3.0349284306501,3.0845675188314,2.8625818856561,3.3672039799116,2.4977288609639,2.8063772642998,2.9022975374646,3.0110393557469,3.5793553495919,3.7927420714,3.8110131554678,3.6972207591467,3.7117498484154,3.6813102693514,3.578861614474,3.6530792994653,3.688722365388,3.5861517433409,3.6091162605559,3.5824929165846,3.4412197814879,2.7042323276072,2.6590634862873,2.7865607094277,2.9225540938802,2.9501545930668,2.9718794383478,3.1364443923565,3.3269957428233,3.4714479169069,3.7526349857998,3.6122505499596,2.9308028332332,3.1229582556757,3.5542937079412,3.6145888531952,3.5672341328193,3.7358360256988,3.2910202896941,3.641680242038,3.9270095198776,3.4126205217734,3.2922722711905,3.3628542295501
