Substance,EDGAR Country Code,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
CO2,ABW,Aruba,0.093471292397056,0.098490990285899,0.10321874495956,0.097050737916834,0.099128234714101,0.10685579413184,0.069570012265944,0.10659752548662,0.10697785578387,0.10240465218472,0.074161984881363,0.073486340090993,0.07961057780967,0.091433843434869,0.088015047285749,0.096803859374066,0.1030190762155,0.11001159871568,0.10708552138389,0.13199894698355,0.1333374184411,0.078934105993824,0.10673457002684,0.11561941718516,0.11846120666093,0.11479758654152,0.11679585234401,0.10416117269448,0.10689973824673,0.12298368498883,0.12835308501322,0.10576778438632,0.094146156912006
CO2,AFG,Afghanistan,0.094548388463753,0.10138338825922,0.06068518028255,0.077302468127755,0.094959088522588,0.056064538633215,0.057971681015091,0.060368116875588,0.063738007845544,0.06483562326228,0.057275131182003,0.056023463568714,0.036180022341078,0.03617812845547,0.031644115382013,0.040404493895955,0.042477152456864,0.052125134194224,0.097940872643729,0.12987414589461,0.14157399965869,0.2057289810581,0.15734961741561,0.12725411174876,0.11801485773445,0.12250751431318,0.10905088008644,0.11439778807594,0.1075251893317,0.094807686545716,0.071289397888794,0.092701446089602,0.093302384584858
CO2,AGO,Angola,0.16474273724778,0.17110890608122,0.18701489818168,0.24636332829259,0.23024443943995,0.2256996698856,0.24047216977743,0.23450989536366,0.23265906770193,0.24093511624643,0.21419209059717,0.20157763742881,0.17453402627695,0.18441267582921,0.16968955490805,0.13227370042165,0.1242210293381,0.1122911357854,0.11421793715486,0.1238284294769,0.12780007916127,0.12831967957239,0.1198246302281,0.13132889239018,0.13687011731951,0.14546130828622,0.13989137058179,0.11990182727879,0.11458879692026,0.11856469541601,0.1027933935329,0.10569957615171,0.096035341618658
CO2,AIA,Anguilla,0.024729646461655,0.039857307910797,0.031428804658904,0.038148938470989,0.048995916284722,0.060998789049932,0.0625523070843,0.052628613057147,0.041989206397141,0.036520376804075,0.050770846461493,0.052486742336416,0.040296920941776,0.044220102545412,0.03729565194445,0.031317402583075,0.027723728871556,0.022627702806281,0.027758277639397,0.051200430503643,0.06294404757101,0.068276341789398,0.073843143051902,0.092174944190088,0.096833334283252,0.11229970091479,0.12570389700916,0.14866885411886,0.18787305131687,0.12230601145965,0.10783482325375,0.098602277494354,0.090136583710187
CO2,ALB,Albania,0.4190260040784,0.38360048392368,0.22304224632671,0.19150138503379,0.18646149186035,0.14531047250638,0.13220315623048,0.11413890512049,0.12704038257798,0.18104319974552,0.17741206726576,0.17451172987592,0.1944669633818,0.1937006840156,0.19241798922203,0.17137110468916,0.16128992370201,0.15622733822213,0.14362636702005,0.14161376554019,0.14557889904779,0.15449672505928,0.1392604599044,0.14504345355083,0.15240869768925,0.14228128787031,0.12810714427191,0.14576965612272,0.13813705445859,0.12718911710523,0.11418586002016,0.10619539338814,0.10426497752576
CO2,ANT,Curaçao,0.93929971472885,0.95144718233811,0.97518412415901,0.79064740118584,0.86465798537306,0.840616540152,0.82147962315338,1.5472378995425,1.5384695487805,1.4600534697338,1.4796433657009,1.4870923981243,1.4193850154025,1.4170563397509,1.467840163742,1.5297171373061,1.4715904488556,1.555098478914,1.5069929633299,1.4366508493939,1.0469432191094,1.3398181482905,1.361718929877,1.2587150392835,1.404949818297,1.4180955302809,1.2382066351459,1.0166554420726,0.83800515833262,0.67226008990419,0.67521839763995,0.62392230236697,0.57005336876829
CO2,ARE,United Arab Emirates,0.28241946820761,0.31857162816224,0.29774614622907,0.3100135890319,0.31933156636042,0.31926438808661,0.31538250652232,0.30379478019916,0.31073353170751,0.31134465563769,0.27865242807316,0.31462173814951,0.31402496675324,0.3033843649898,0.29268079641464,0.29719706506587,0.28103465336179,0.2936787310912,0.34087719072731,0.36213495406499,0.37069030072086,0.35736202524241,0.35780382774221,0.35882137579208,0.34976536531477,0.34205594457406,0.33272281884972,0.31788713097466,0.2873272093114,0.30026166362514,0.31983791740444,0.32837411357318,0.31191547435017
CO2,ARG,Argentina,0.21572586515528,0.20825852487686,0.19646677521386,0.18823858794836,0.18342954004159,0.1914029567223,0.19764446379549,0.18888429568954,0.1917235901857,0.20121693079611,0.19820541812766,0.19878159854902,0.21008971110706,0.21073202151107,0.21456321801327,0.20220192908772,0.19830961174988,0.19250689045585,0.19075560736915,0.18754752331557,0.18282213345362,0.18117438927133,0.18460062186848,0.18591304752278,0.18687306713459,0.18769268974868,0.18942361248362,0.18130726788861,0.18405635837881,0.17899667289579,0.18362849525902,0.18400316277115,0.17733398697698
CO2,ARM,Armenia,1.1242185914951,1.3263005368181,1.159391580101,0.59290625528435,0.31018439759363,0.365886513791,0.25318175260797,0.31532963190438,0.30571890180994,0.26454772400824,0.28726962351657,0.26678304587995,0.20116340488438,0.197466934359,0.19355436320156,0.20173046750302,0.17753469999301,0.18102724907391,0.18557785139796,0.17219299630927,0.16089029455045,0.17529022468653,0.18904273135,0.17693443686821,0.17050686003423,0.16105163247335,0.15303898717943,0.15081912577297,0.1517303706253,0.1530799399202,0.1788824551255,0.17488824723015,0.14183766836409
CO2,ATG,Antigua and Barbuda,0.15960698699376,0.158471292207,0.15802986472298,0.14714666380613,0.1461562589695,0.16067825283195,0.14981317132699,0.1485528362619,0.14518450636162,0.1356800110432,0.089133874933252,0.093245889731126,0.10254388338613,0.10620681540895,0.10325715242795,0.09987904928768,0.098625181912936,0.1006554140467,0.10826754467037,0.1423259762188,0.16252223966944,0.12801011082469,0.13684068883797,0.16535654637388,0.1647519490562,0.15800010352765,0.16045545152234,0.13385181284591,0.14434311803005,0.15431557406706,0.15897164862989,0.14405516136754,0.13799753914156
